Graph Name,PR on Original Graph,Incremental PR – SpMSpV,Incremental PR – SpMV
DIP_unweighted_graph.mtx, 3761.62msec, 4946.13msec, 2823.24msec
cage12.mtx, 231.544msec, 465.906msec, 215.744msec
filter3D.mtx, 282.638msec, 611.356msec, 297.812msec
facebook_combined.mtx, 118.111msec, 205.772msec, 114.549msec
offshore.mtx, 471.606msec, 931.9msec, 471.961msec
webbase-1M.mtx, 1906.74msec, 4610.55msec, 2501.82msec
email-Enron.mtx, 130.867msec, 195.859msec, 93.468msec
2cubes_sphere.mtx, 166.843msec, 381.998msec, 186.803msec
qcd5_4.mtx, 5.33008msec, 239.938msec, 113.254msec
pwtk.mtx, 882.927msec, 1486.81msec, 703.236msec
shipsec1.mtx, 648.582msec, 1232.52msec, 582.566msec
WIPHI_graph.mtx, 1496.59msec, 2314.92msec, 1315.11msec
poisson3Da.mtx, 43.7871msec, 87.165msec, 40.501msec
rma10.mtx, 277.176msec, 583.408msec, 277.024msec
consph.mtx, 519.338msec, 1587.59msec, 753.352msec
cit-HepPh.mtx, 19387.5msec, 30662.4msec, 17403.8msec
mc2depi.mtx, 381.582msec, 1006.68msec, 524.843msec
cant.mtx, 323.16msec, 1095.15msec, 523.715msec
pdb1HYS.mtx, 445.583msec, 575.405msec, 272.623msec
majorbasis.mtx, 167.362msec, 518.433msec, 205.688msec
mario002.mtx, 326.126msec, 962.04msec, 493.428msec
loc-gowalla_edges.mtx, 622.718msec, 755.24msec, 397.548msec
mono_500Hz.mtx, 757.625msec, 1348.05msec, 662.522msec
mac_econ_fwd500.mtx, 359.842msec, 634.561msec, 300.885msec
m133-b3.mtx, 5.54297msec, 147.799msec, 69.9338msec
hood.mtx, 844.587msec, 1466.3msec, 693.898msec
scircuit.mtx, 285.622msec, 535.492msec, 258.345msec
